feature,importance
URLSimilarityIndex,0.20305493050191042
NoOfExternalRef,0.1608866860956752
LineOfCode,0.1279571715229417
NoOfImage,0.09708473540398005
NoOfSelfRef,0.09205096130683249
NoOfJS,0.0604313962005839
HasSocialNet,0.04590441621580535
HasCopyrightInfo,0.031447398354175586
HasDescription,0.026391728141293157
NoOfCSS,0.024974288907244527
NoOfOtherSpecialCharsInURL,0.016593804797433
LargestLineLength,0.016084547321018834
IsHTTPS,0.01520135820748585
HasSubmitButton,0.008798733450082507
URLLength,0.008658346438406132
NoOfDegitsInURL,0.007516578628775419
DegitRatioInURL,0.006999153801903687
DomainTitleMatchScore,0.00665168700008074
NoOfEmptyRef,0.006030146663726383
NoOfLettersInURL,0.005991209018292596
NoOfiFrame,0.00582999998893083
SpacialCharRatioInURL,0.005212648660310134
IsResponsive,0.00513235811525589
LetterRatioInURL,0.003045177705227969
NoOfSubDomain,0.002919710300240097
URLTitleMatchScore,0.0028878542171072675
HasFavicon,0.0021447014461182428
CharContinuationRate,0.0011174593542188998
URLCharProb,0.0008300453140817192
DomainLength,0.0006418734614153317
NoOfQMarkInURL,0.00045914671434199757
TLDLegitimateProb,0.00025222367505512626
NoOfEqualsInURL,0.00014076949260476742
TLDLength,0.00013327635507981108
HasTitle,0.00012770051604373182
HasHiddenFields,0.00012638674478032694
Bank,7.332402006088712e-05
HasPasswordField,7.267479353838637e-05
Pay,5.188023725642278e-05
Robots,3.1269349356089774e-05
NoOfPopup,2.7834667335932497e-05
NoOfURLRedirect,1.4169567435947831e-05
Crypto,7.947753472416865e-06
ObfuscationRatio,2.430830010352127e-06
HasExternalFormSubmit,1.8717290192462976e-06
NoOfObfuscatedChar,1.7320636081479352e-06
NoOfAmpersandInURL,1.389024043882129e-06
NoOfSelfRedirect,1.375077524621299e-06
IsDomainIP,9.021991800312808e-07
HasObfuscation,5.886496979018013e-07
